# reimpl: cobevtbench model=cobevt_camera_static dataset=opv2v_camera
# 627 tensors, 26323909 parameters

sinbevt.blocks.1.mlp_global.fc1.bias	[256]
sinbevt.blocks.1.mlp_global.fc2.weight	[128, 256]
sinbevt.blocks.1.mlp_global.fc2.bias	[128]
sinbevt.blocks.1.postnorm.weight	[128]
sinbevt.blocks.1.postnorm.bias	[128]
sinbevt.blocks.2.feature_proj.0.weight	[512]
sinbevt.blocks.2.feature_proj.0.bias	[512]
sinbevt.blocks.2.feature_proj.0.running_mean	[512]
sinbevt.blocks.2.feature_proj.0.running_var	[512]
sinbevt.blocks.2.feature_proj.0.num_batches_tracked	[]
sinbevt.blocks.2.feature_proj.2.weight	[128, 512, 1, 1]
sinbevt.blocks.2.feature_linear.0.weight	[512]
sinbevt.blocks.2.feature_linear.0.bias	[512]
sinbevt.blocks.2.feature_linear.0.running_mean	[512]
sinbevt.blocks.2.feature_linear.0.running_var	[512]
sinbevt.blocks.2.feature_linear.0.num_batches_tracked	[]
sinbevt.blocks.2.feature_linear.2.weight	[128, 512, 1, 1]
sinbevt.blocks.2.local_attend.qkv.to_q.0.weight	[128]
sinbevt.blocks.2.local_attend.qkv.to_q.0.bias	[128]
sinbevt.blocks.2.local_attend.qkv.to_q.1.weight	[128, 128]
sinbevt.blocks.2.local_attend.qkv.to_q.1.bias	[128]
sinbevt.blocks.2.local_attend.qkv.to_k.0.weight	[128]
sinbevt.blocks.2.local_attend.qkv.to_k.0.bias	[128]
sinbevt.blocks.2.local_attend.qkv.to_k.1.weight	[128, 128]
sinbevt.blocks.2.local_attend.qkv.to_k.1.bias	[128]
sinbevt.blocks.2.local_attend.qkv.to_v.0.weight	[128]
sinbevt.blocks.2.local_attend.qkv.to_v.0.bias	[128]
sinbevt.blocks.2.local_attend.qkv.to_v.1.weight	[128, 128]
sinbevt.blocks.2.local_attend.qkv.to_v.1.bias	[128]
sinbevt.blocks.2.local_attend.to_out.weight	[128, 128]
sinbevt.blocks.2.global_attend.qkv.to_q.0.weight	[128]
sinbevt.blocks.2.global_attend.qkv.to_q.0.bias	[128]
sinbevt.blocks.2.global_attend.qkv.to_q.1.weight	[128, 128]
sinbevt.blocks.2.global_attend.qkv.to_q.1.bias	[128]
sinbevt.blocks.2.global_attend.qkv.to_k.0.weight	[128]
sinbevt.blocks.2.global_attend.qkv.to_k.0.bias	[128]
sinbevt.blocks.2.global_attend.qkv.to_k.1.weight	[128, 128]
sinbevt.blocks.2.global_attend.qkv.to_k.1.bias	[128]
sinbevt.blocks.2.global_attend.qkv.to_v.0.weight	[128]
sinbevt.blocks.2.global_attend.qkv.to_v.0.bias	[128]
sinbevt.blocks.2.global_attend.qkv.to_v.1.weight	[128, 128]
sinbevt.blocks.2.global_attend.qkv.to_v.1.bias	[128]
sinbevt.blocks.2.global_attend.to_out.weight	[128, 128]
sinbevt.blocks.2.prenorm_local.weight	[128]
sinbevt.blocks.2.prenorm_local.bias	[128]
sinbevt.blocks.2.mlp_local.fc1.weight	[256, 128]
sinbevt.blocks.2.mlp_local.fc1.bias	[256]
sinbevt.blocks.2.mlp_local.fc2.weight	[128, 256]
sinbevt.blocks.2.mlp_local.fc2.bias	[128]
sinbevt.blocks.2.prenorm_global.weight	[128]
sinbevt.blocks.2.prenorm_global.bias	[128]
sinbevt.blocks.2.mlp_global.fc1.weight	[256, 128]
sinbevt.blocks.2.mlp_global.fc1.bias	[256]
sinbevt.blocks.2.mlp_global.fc2.weight	[128, 256]
sinbevt.blocks.2.mlp_global.fc2.bias	[128]
sinbevt.blocks.2.postnorm.weight	[128]
sinbevt.blocks.2.postnorm.bias	[128]
sinbevt.bottlenecks.0.0.conv1.weight	[32, 128, 1, 1]
sinbevt.bottlenecks.0.0.bn1.weight	[32]
sinbevt.bottlenecks.0.0.bn1.bias	[32]
sinbevt.bottlenecks.0.0.bn1.running_mean	[32]
sinbevt.bottlenecks.0.0.bn1.running_var	[32]
sinbevt.bottlenecks.0.0.bn1.num_batches_tracked	[]
sinbevt.bottlenecks.0.0.conv2.weight	[32, 32, 3, 3]
sinbevt.bottlenecks.0.0.bn2.weight	[32]
sinbevt.bottlenecks.0.0.bn2.bias	[32]
sinbevt.bottlenecks.0.0.bn2.running_mean	[32]
sinbevt.bottlenecks.0.0.bn2.running_var	[32]
sinbevt.bottlenecks.0.0.bn2.num_batches_tracked	[]
sinbevt.bottlenecks.0.0.conv3.weight	[128, 32, 1, 1]
sinbevt.bottlenecks.0.0.bn3.weight	[128]
sinbevt.bottlenecks.0.0.bn3.bias	[128]
sinbevt.bottlenecks.0.0.bn3.running_mean	[128]
sinbevt.bottlenecks.0.0.bn3.running_var	[128]
sinbevt.bottlenecks.0.0.bn3.num_batches_tracked	[]
sinbevt.bottlenecks.0.1.conv1.weight	[32, 128, 1, 1]
sinbevt.bottlenecks.0.1.bn1.weight	[32]
sinbevt.bottlenecks.0.1.bn1.bias	[32]
sinbevt.bottlenecks.0.1.bn1.running_mean	[32]
sinbevt.bottlenecks.0.1.bn1.running_var	[32]
sinbevt.bottlenecks.0.1.bn1.num_batches_tracked	[]
sinbevt.bottlenecks.0.1.conv2.weight	[32, 32, 3, 3]
sinbevt.bottlenecks.0.1.bn2.weight	[32]
sinbevt.bottlenecks.0.1.bn2.bias	[32]
sinbevt.bottlenecks.0.1.bn2.running_mean	[32]
sinbevt.bottlenecks.0.1.bn2.running_var	[32]
sinbevt.bottlenecks.0.1.bn2.num_batches_tracked	[]
sinbevt.bottlenecks.0.1.conv3.weight	[128, 32, 1, 1]
sinbevt.bottlenecks.0.1.bn3.weight	[128]
sinbevt.bottlenecks.0.1.bn3.bias	[128]
sinbevt.bottlenecks.0.1.bn3.running_mean	[128]
sinbevt.bottlenecks.0.1.bn3.running_var	[128]
sinbevt.bottlenecks.0.1.bn3.num_batches_tracked	[]
sinbevt.bottlenecks.1.0.conv1.weight	[32, 128, 1, 1]
sinbevt.bottlenecks.1.0.bn1.weight	[32]
sinbevt.bottlenecks.1.0.bn1.bias	[32]
sinbevt.bottlenecks.1.0.bn1.running_mean	[32]
sinbevt.bottlenecks.1.0.bn1.running_var	[32]
sinbevt.bottlenecks.1.0.bn1.num_batches_tracked	[]
sinbevt.bottlenecks.1.0.conv2.weight	[32, 32, 3, 3]
sinbevt.bottlenecks.1.0.bn2.weight	[32]
sinbevt.bottlenecks.1.0.bn2.bias	[32]
sinbevt.bottlenecks.1.0.bn2.running_mean	[32]
sinbevt.bottlenecks.1.0.bn2.running_var	[32]
sinbevt.bottlenecks.1.0.bn2.num_batches_tracked	[]
sinbevt.bottlenecks.1.0.conv3.weight	[128, 32, 1, 1]
sinbevt.bottlenecks.1.0.bn3.weight	[128]
sinbevt.bottlenecks.1.0.bn3.bias	[128]
sinbevt.bottlenecks.1.0.bn3.running_mean	[128]
sinbevt.bottlenecks.1.0.bn3.running_var	[128]
sinbevt.bottlenecks.1.0.bn3.num_batches_tracked	[]
sinbevt.bottlenecks.1.1.conv1.weight	[32, 128, 1, 1]
sinbevt.bottlenecks.1.1.bn1.weight	[32]
sinbevt.bottlenecks.1.1.bn1.bias	[32]
sinbevt.bottlenecks.1.1.bn1.running_mean	[32]
sinbevt.bottlenecks.1.1.bn1.running_var	[32]
sinbevt.bottlenecks.1.1.bn1.num_batches_tracked	[]
sinbevt.bottlenecks.1.1.conv2.weight	[32, 32, 3, 3]
sinbevt.bottlenecks.1.1.bn2.weight	[32]
sinbevt.bottlenecks.1.1.bn2.bias	[32]
sinbevt.bottlenecks.1.1.bn2.running_mean	[32]
