# official checkpoint: /local/554122/ckpt/opv2v_zoo/cobevt_camera_dynamic/net_epoch91.pth
# 648 tensors, 27452686 parameters

fax.cross_views.0.cross_win_attend_2.to_q.0.bias	[128]
fax.cross_views.0.cross_win_attend_2.to_q.1.weight	[128, 128]
fax.cross_views.0.cross_win_attend_2.to_q.1.bias	[128]
fax.cross_views.0.cross_win_attend_2.to_k.0.weight	[128]
fax.cross_views.0.cross_win_attend_2.to_k.0.bias	[128]
fax.cross_views.0.cross_win_attend_2.to_k.1.weight	[128, 128]
fax.cross_views.0.cross_win_attend_2.to_k.1.bias	[128]
fax.cross_views.0.cross_win_attend_2.to_v.0.weight	[128]
fax.cross_views.0.cross_win_attend_2.to_v.0.bias	[128]
fax.cross_views.0.cross_win_attend_2.to_v.1.weight	[128, 128]
fax.cross_views.0.cross_win_attend_2.to_v.1.bias	[128]
fax.cross_views.0.cross_win_attend_2.proj.weight	[128, 128]
fax.cross_views.0.cross_win_attend_2.proj.bias	[128]
fax.cross_views.0.prenorm_1.weight	[128]
fax.cross_views.0.prenorm_1.bias	[128]
fax.cross_views.0.prenorm_2.weight	[128]
fax.cross_views.0.prenorm_2.bias	[128]
fax.cross_views.0.mlp_1.0.weight	[256, 128]
fax.cross_views.0.mlp_1.0.bias	[256]
fax.cross_views.0.mlp_1.2.weight	[128, 256]
fax.cross_views.0.mlp_1.2.bias	[128]
fax.cross_views.0.mlp_2.0.weight	[256, 128]
fax.cross_views.0.mlp_2.0.bias	[256]
fax.cross_views.0.mlp_2.2.weight	[128, 256]
fax.cross_views.0.mlp_2.2.bias	[128]
fax.cross_views.0.postnorm.weight	[128]
fax.cross_views.0.postnorm.bias	[128]
fax.cross_views.1.feature_linear.0.weight	[256]
fax.cross_views.1.feature_linear.0.bias	[256]
fax.cross_views.1.feature_linear.0.running_mean	[256]
fax.cross_views.1.feature_linear.0.running_var	[256]
fax.cross_views.1.feature_linear.0.num_batches_tracked	[]
fax.cross_views.1.feature_linear.2.weight	[128, 256, 1, 1]
fax.cross_views.1.feature_proj.0.weight	[256]
fax.cross_views.1.feature_proj.0.bias	[256]
fax.cross_views.1.feature_proj.0.running_mean	[256]
fax.cross_views.1.feature_proj.0.running_var	[256]
fax.cross_views.1.feature_proj.0.num_batches_tracked	[]
fax.cross_views.1.feature_proj.2.weight	[128, 256, 1, 1]
fax.cross_views.1.img_embed.weight	[128, 4, 1, 1]
fax.cross_views.1.cam_embed.weight	[128, 4, 1, 1]
fax.cross_views.1.cross_win_attend_1.to_q.0.weight	[128]
fax.cross_views.1.cross_win_attend_1.to_q.0.bias	[128]
fax.cross_views.1.cross_win_attend_1.to_q.1.weight	[128, 128]
fax.cross_views.1.cross_win_attend_1.to_q.1.bias	[128]
fax.cross_views.1.cross_win_attend_1.to_k.0.weight	[128]
fax.cross_views.1.cross_win_attend_1.to_k.0.bias	[128]
fax.cross_views.1.cross_win_attend_1.to_k.1.weight	[128, 128]
fax.cross_views.1.cross_win_attend_1.to_k.1.bias	[128]
fax.cross_views.1.cross_win_attend_1.to_v.0.weight	[128]
fax.cross_views.1.cross_win_attend_1.to_v.0.bias	[128]
fax.cross_views.1.cross_win_attend_1.to_v.1.weight	[128, 128]
fax.cross_views.1.cross_win_attend_1.to_v.1.bias	[128]
fax.cross_views.1.cross_win_attend_1.proj.weight	[128, 128]
fax.cross_views.1.cross_win_attend_1.proj.bias	[128]
fax.cross_views.1.cross_win_attend_2.to_q.0.weight	[128]
fax.cross_views.1.cross_win_attend_2.to_q.0.bias	[128]
fax.cross_views.1.cross_win_attend_2.to_q.1.weight	[128, 128]
fax.cross_views.1.cross_win_attend_2.to_q.1.bias	[128]
fax.cross_views.1.cross_win_attend_2.to_k.0.weight	[128]
fax.cross_views.1.cross_win_attend_2.to_k.0.bias	[128]
fax.cross_views.1.cross_win_attend_2.to_k.1.weight	[128, 128]
fax.cross_views.1.cross_win_attend_2.to_k.1.bias	[128]
