# official checkpoint: /local/554122/ckpt/v2xvit/net_epoch60.pth
# 304 tensors, 14180427 parameters

pillar_vfe.pfn_layers.0.linear.weight	[64, 10]
fusion_net.encoder.layers.1.1.fn.net.3.weight	[256, 256]
fusion_net.encoder.layers.1.1.fn.net.3.bias	[256]
fusion_net.encoder.layers.2.0.layers.0.0.norm.weight	[256]
fusion_net.encoder.layers.2.0.layers.0.0.norm.bias	[256]
fusion_net.encoder.layers.2.0.layers.0.0.fn.relation_att	[4, 8, 32, 32]
fusion_net.encoder.layers.2.0.layers.0.0.fn.relation_msg	[4, 8, 32, 32]
fusion_net.encoder.layers.2.0.layers.0.0.fn.k_linears.0.weight	[256, 256]
fusion_net.encoder.layers.2.0.layers.0.0.fn.k_linears.0.bias	[256]
fusion_net.encoder.layers.2.0.layers.0.0.fn.k_linears.1.weight	[256, 256]
fusion_net.encoder.layers.2.0.layers.0.0.fn.k_linears.1.bias	[256]
fusion_net.encoder.layers.2.0.layers.0.0.fn.q_linears.0.weight	[256, 256]
fusion_net.encoder.layers.2.0.layers.0.0.fn.q_linears.0.bias	[256]
fusion_net.encoder.layers.2.0.layers.0.0.fn.q_linears.1.weight	[256, 256]
fusion_net.encoder.layers.2.0.layers.0.0.fn.q_linears.1.bias	[256]
fusion_net.encoder.layers.2.0.layers.0.0.fn.v_linears.0.weight	[256, 256]
fusion_net.encoder.layers.2.0.layers.0.0.fn.v_linears.0.bias	[256]
fusion_net.encoder.layers.2.0.layers.0.0.fn.v_linears.1.weight	[256, 256]
fusion_net.encoder.layers.2.0.layers.0.0.fn.v_linears.1.bias	[256]
fusion_net.encoder.layers.2.0.layers.0.0.fn.a_linears.0.weight	[256, 256]
fusion_net.encoder.layers.2.0.layers.0.0.fn.a_linears.0.bias	[256]
fusion_net.encoder.layers.2.0.layers.0.0.fn.a_linears.1.weight	[256, 256]
fusion_net.encoder.layers.2.0.layers.0.0.fn.a_linears.1.bias	[256]
fusion_net.encoder.layers.2.0.layers.0.1.norm.weight	[256]
fusion_net.encoder.layers.2.0.layers.0.1.norm.bias	[256]
fusion_net.encoder.layers.2.0.layers.0.1.fn.pwmsa.0.pos_embedding	[7, 7]
fusion_net.encoder.layers.2.0.layers.0.1.fn.pwmsa.0.to_qkv.weight	[768, 256]
fusion_net.encoder.layers.2.0.layers.0.1.fn.pwmsa.0.to_out.0.weight	[256, 256]
fusion_net.encoder.layers.2.0.layers.0.1.fn.pwmsa.0.to_out.0.bias	[256]
fusion_net.encoder.layers.2.0.layers.0.1.fn.pwmsa.1.pos_embedding	[15, 15]
fusion_net.encoder.layers.2.0.layers.0.1.fn.pwmsa.1.to_qkv.weight	[768, 256]
fusion_net.encoder.layers.2.0.layers.0.1.fn.pwmsa.1.to_out.0.weight	[256, 256]
fusion_net.encoder.layers.2.0.layers.0.1.fn.pwmsa.1.to_out.0.bias	[256]
fusion_net.encoder.layers.2.0.layers.0.1.fn.pwmsa.2.pos_embedding	[31, 31]
fusion_net.encoder.layers.2.0.layers.0.1.fn.pwmsa.2.to_qkv.weight	[768, 256]
fusion_net.encoder.layers.2.0.layers.0.1.fn.pwmsa.2.to_out.0.weight	[256, 256]
fusion_net.encoder.layers.2.0.layers.0.1.fn.pwmsa.2.to_out.0.bias	[256]
fusion_net.encoder.layers.2.0.layers.0.1.fn.split_attn.fc1.weight	[256, 256]
fusion_net.encoder.layers.2.0.layers.0.1.fn.split_attn.bn1.weight	[256]
fusion_net.encoder.layers.2.0.layers.0.1.fn.split_attn.bn1.bias	[256]
fusion_net.encoder.layers.2.0.layers.0.1.fn.split_attn.fc2.weight	[768, 256]
fusion_net.encoder.layers.2.1.norm.weight	[256]
fusion_net.encoder.layers.2.1.norm.bias	[256]
fusion_net.encoder.layers.2.1.fn.net.0.weight	[256, 256]
fusion_net.encoder.layers.2.1.fn.net.0.bias	[256]
fusion_net.encoder.layers.2.1.fn.net.3.weight	[256, 256]
fusion_net.encoder.layers.2.1.fn.net.3.bias	[256]
fusion_net.encoder.rte.emb.emb.weight	[100, 256]
fusion_net.encoder.rte.emb.lin.weight	[256, 256]
fusion_net.encoder.rte.emb.lin.bias	[256]
cls_head.weight	[2, 256, 1, 1]
cls_head.bias	[2]
reg_head.weight	[14, 256, 1, 1]
reg_head.bias	[14]
